UTF8 // codepage

Фантастика | SF, Fantasy
comp_hard Аппаратное обеспечение | Hardware
comp_soft Программы | Software
comp_db Базы данных | Databases
comp_osnet ОС и Сети | OS & Networking
computers Околокомпьютерная литература | Computers: Misk
comp_dsp Цифровая обработка сигналов | DSP

Справочная литература | Reference
ref_encyc Энциклопедии | Encyclopedias
ref_dict Словари | Dictionaries
ref_ref Справочники | Reference
ref_guide Руководства | Guidebooks
reference Справочная литература | Misk References
design Искусство и Дизайн | Art, Design
geo_guides Путеводители | Guides

Религия и духовность | Religion
religion_rel Религия | Religion
religion_esoterics Эзотерика | Esoterics
religion_self Самосовершенствование | Self-perfection
religion Религиозная литература: прочее | Religion: Other
religion_budda Буддизм | Buddha
religion_christianity Христианство | Christianity
religion_orthodoxy Православие | Orthodoxy
religion_catholicism Католицизм | Catholicism
religion_protestantism Протестантизм  | Protestantism
religion_hinduism Индуизм | Hinduism
religion_islam Ислам | Islam
religion_judaism Иудаизм | Judaism
astrology Астрология | Astrology
palmistry Хиромантия | Palmistry
religion_paganism Язычество | Paganism

Юмор | Humor
sf_humor Юмористическая фантастика | Humor SF
humor_anecdote Анекдоты | Anecdote
humor_prose Юмористическая проза | Humor Prose
humor_verse Юмористические стихи | Humor Verses
humor Юмор: прочее | Misk Humor
comedy Комедия | Comedy
humor_satire Сатира | Satire

Домоводство (Дом и семья) | Home, Family
home_cooking Кулинария | Cooking
home_pets Домашние животные | Pets
home_crafts Хобби и ремесла | Hobbies & Crafts
home_entertain Развлечения | Entertaining
home_health Здоровье | Health
home_garden Сад и огород | Garden
home_diy Сделай сам | Do it yourself
home_sport Спорт | Sports
home_sex Эротика, Секс | Erotica, Sex
home Домоводство | Home: Other
home_collecting Коллекционирование | Collecting

Техника | Technics
sci_tech Технические науки | Technical
sci_transport Транспорт и авиация | Transport
sci_metal Металлургия | Metallurgy
sci_radio Радиоэлектроника | Radio
sci_build Строительство и сопромат | Building
auto_regulations Автомобили и ПДД | Auto regulations
architecture_book Архитектура | Architecture

Прочее | Other
other Неотсортированное | Other
notes Партитуры | Notes
periodic Газеты и журналы | Periodic
music Музыка | Music
cine Кино | Cine
theatre Театр | Theatre
fanfiction Фанфик | Fan fiction
unfinished Недописанное | Unfinished
visual_arts Изобразительное искусство, фотография | Visual Arts

Деловая литература | Economy, Business
banking Банковское дело | Banking
accounting Бухучет и аудит | Accounting
global_economy Внешняя торговля | Global Economy
paper_work Делопроизводство | Paper Work
org_behavior Корпоративная культура | Corporate Culture
personal_finance Личные финансы | Personal Finance
small_business Малый бизнес | Small Business
marketing Маркетинг, PR, реклама | Marketing, PR, Adv
real_estate Недвижимость | Real Estate
popular_business О бизнесе популярно | Popular Business
industries Отраслевые издания | Industries
job_hunting Поиск работы, карьера | Job Hunting
ya Подростковая литература | Young-adult fiction
management Управление, подбор персонала | Management
stock Ценные бумаги, инвестиции | Stock
economics Экономика | Economics
trade Торговля | Trade

Документальная литература | Nonfiction
adv_geo Путешествия и география | Travel & Geography
adv_animal Природа и животные | Nature & Animals
nonf_biography Биографии и Мемуары | Biography & Memoirs
nonf_publicism Публицистика | Publicism
nonf_criticism Критика | Criticism
nonfiction Документальная литература | Misk Nonfiction
nonf_military Военная документалистика | Military docs
sci_popular Научпоп | Science popular

Драматургия | Dramaturgy
dramaturgy Драматургия: прочее | Dramaturgy
drama Драма | Drama
screenplays Киносценарии | Screenplays
comedy Комедия | Comedy
mystery Мистерия | Mystery
scenarios Сценарии | Scenarios
tragedy Трагедия | Tragedy
vaudeville Водевиль | Vaudeville

Фольклор | Folklore
humor_anecdote Анекдоты | Anecdote
epic Былины | Epic
child_folklore Детский фольклор | Child Folklore
riddles Загадки | Riddles
folk_songs Народные песни | Folk Songs
folk_tale Народные сказки | Folk tales
proverbs Пословицы, поговорки | Proverbs
folklore Фольклор: прочее | Folklore
limerick Частушки, прибаутки, потешки | Limerick

Военное дело | Military
prose_military О войне | Military
nonf_military Военная документалистика | Military docs
military_history Военная история | Military History
military_weapon Военная техника и вооружение | Weapon
military_arts Боевые искусства | Military Arts
military_special Cпецслужбы  | Military special
military Военное дело: прочее | Military
